home_uid,host_uid,label,checked
uns-pmf:M-15,utwente:202001033,0,yes
uns-pmf:I211,utwente:202001193,1,yes
uns-pmf:I241,utwente:202500352,2,yes
uns-pmf:I031,utwente:202200022,0,yes
uns-pmf:I033,utwente:202500331,2,yes
uns-pmf:I221,utwente:202500342,0,yes
uns-pmf:I152,utwente:202200201,0,yes
uns-pmf:I141,utwente:202500568,2,yes
uns-pmf:I122,utwente:202300017,1,yes
uns-pmf:I151,utwente:202500361,2,yes
uns-pmf:I262,utwente:202500352,0,yes
uns-pmf:I212,utwente:202001193,1,yes
uns-pmf:I251,utwente:202500341,1,yes
uns-pmf:I034,utwente:202001234,2,yes
uns-pmf:I021,utwente:202500367,2,yes
uns-pmf:I243,utwente:202500347,2,yes
uns-pmf:I144,utwente:202200141,1,yes
uns-pmf:M-02,utwente:202300156,0,yes
uns-pmf:I322,utwente:202500344,1,yes
uns-pmf:I221,utwente:202500351,0,yes
uns-pmf:I111,utwente:202500568,0,yes
uns-pmf:I152,utwente:202200024,0,yes
uns-pmf:I222,utwente:202200236,0,yes
uns-pmf:I212,utwente:201600167,1,yes
uns-pmf:I142,utwente:202001047,0,yes
uns-pmf:I243,utwente:202500333,1,yes
uns-pmf:I243,utwente:202500346,2,yes
uns-pmf:I321,utwente:202500333,0,yes
uns-pmf:M-09,utwente:202500568,0,yes
uns-pmf:I331,utwente:202300106,2,yes
